-0.7155502813087156,-0.29110377589684067,-0.6171415188945006;  0.21026155352592468,-0.1854342818260193,0.15358352661132812,1.0,0.5172823071479797,0.5184135437011719
0.7454236857143375,0.018646686033522448,-0.6027325309633906;  0.21623149514198303,-0.19661074876785278,0.41428205370903015,0.14361131191253662,1.0,1.0
0.8113110289179686,-0.06619553260910704,-0.646057538000772;  0.21734076738357544,-0.1944616436958313,0.14432674646377563,0.14373934268951416,1.0,1.0
0.9998848652292658,-0.3688380360697463,-0.6720314831483988;  0.14851313829421997,-0.19485878944396973,0.6811699867248535,-0.18527156114578247,0.5179665684700012,0.517193615436554
0.7578904966977824,0.03280612710868175,-0.5803714080239936;  0.21759071946144104,-0.19736939668655396,0.4526436924934387,0.14327478408813477,1.0,1.0
-1.0,0.10204997340599609,0.39142904574077364;  0.942508339881897,-0.1831403374671936,0.30378344655036926,0.2931599020957947,1.0,1.0
0.8002673946380714,-0.08754860374263794,-0.6842554131085598;  0.21671026945114136,-0.19328337907791138,0.23448625206947327,0.141690194606781,1.0,1.0
-0.7362651993282364,0.016321951603128,-0.6075012051023805;  0.21138861775398254,-0.19590139389038086,0.47597435116767883,0.14347928762435913,1.0,1.0
0.8046690966050312,0.007279723753718251,-0.698914203677516;  0.21644049882888794,-0.19504189491271973,0.21514251828193665,0.14278548955917358,1.0,0.8107015490531921
0.9998278006258894,-0.360450738437462,-0.6387145024496814;  0.22134190797805786,-0.19170749187469482,1.0,1.0,1.0,1.0
